가수,제목,가사,장르
SG워너비,Timeless,어쩜 살아가다 보면 한 번은 날 찾을지 몰라 난 그 기대 하나로 오늘도 힘겹게 버틴 걸 난 참 기억력도 좋지 않은데 왜 너에 관한 건 그 사소한 추억들까지도 생각이 나는지 너를 잊을 순 없지만 붙잡고 싶지만 이별 앞에서 할 수 있는 건 좋은 기억이라도 남도록 편히 보내주는 일 혼자 남아도 괜찮아  도 괜찮아 세상에 제일 자신있는 건내가 언제나 그래왔듯이 너를 기다리는 일 I don't wanna say goodbye 어쩜 살아가다보면 한 번은 날 찾을지 몰라 난 그 기대 하나로 오늘도 힘겹게 버틴 걸 부디 하루 빨리 좋은 사람과 행복하길 바래 그래야만 내 마음 속에서 널 보낼 것 같아 너를 잊을 순 없지   잡고 싶지만 이별 앞에서 할 수 있는 건 좋은 기억이라도 남도록 편히 보내주는 일 이젠 멀어져 가지만 잠시였지만 태어나 처음 잘한 듯한 건 내겐 아무리 생각해봐도 너를 사랑했던 일 서로가 하나씩 이별의 선물을 나눠간 거잖아 난 마음을 준 대신 넌 내게 추억을 준 거야 다시 또 나를 살아가게    야 Never Ending Never Falling Never Mind My Girl 날 아프게 했지만 울게 했지만 이것 하나만큼은 고마워 눈 감는 그날 내가 가져갈 추억 만들어줘서 ,발라드
성시경,희재,햇살은 우릴 위해 내리고 바람도 서롤 감싸게 했죠 우리 웃음속에 계절은 오고 또 갔죠 바람에 흔들리는 머릿결 내게 불어오는 그대 향기 예쁜 두 눈도 웃음 소리도 모두가 내 것이었죠 이런 사랑 이런 행복 쉽다 했었죠 이런 웃음 이런 축복 내게 쉽게 올리 없죠 눈물조차 울음조차 닦지 못한 나 정 로 울면 내가 그댈 보내준 것 같아서 그대 떠나가는 그 순간도 나를 걱정했었나요 무엇도 해줄 수 없는 내 맘 앞에서 그댄 나를 떠나간다 해도 난 그댈 보낸 적 없죠 여전히 그댄 나를 살게 하는 이율테니 이런 사랑 이런 행복 쉽다 했었죠 이런 웃음 이런 축복 내게 쉽게 올리 없죠 눈물조차 울음조차  지 못한 나 정말로 울면 내가 그댈 보내준 것 같아서 그대 떠나가는 그 순간도 나를 걱정했었나요 무엇도 해줄 수 없는 내 맘 앞에서 그댄 나를 떠나간다 해도 난 그댈 보낸 적 없죠 기다림으로 다시 시작일테니 얼마나 사랑했는지 얼마나 또 울었는지 그대여 한순간 조차 잊지 말아요 거기 떠나간    에서 날 기억하며 기다려요 하루씩 그대에게 다가가는 나 일테니 ,발라드
SG워너비,라라라,그대는 참 아름다워요 밤 하늘의 별빛보다 빛나요 지친 나의 마음을 따뜻하게 감싸줄 그대 품이 나의 집이죠 세찬 바람 앞에서 꺼질듯한 내 사랑도 잘 참고서 이겨내줬어요 정말 눈물나도록 고마운 맘 아나요 그대 내곁에 살아줘서 사랑해요 사랑해요 내가 그대에게 부족한걸 알지만 세월을 걷다 면 지칠때도 있지만 그대의 쉴곳이 되리라 사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이노래 사랑 노래 함께 불러요 둘이서 라라라 그대 쳐진 어깨가 내맘을 아프게해요 잘 해준것도 없는 나라서 그대의 고운 손이 세월에 변했어요 못지켜줘서 미안해요 사랑해요 사랑해요 내가 그대에게  족한걸 알지만 세월을 걷다보면 지칠때도 있지만 그대의 쉴곳이 되리라 사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이노래 사랑노래 함께 불러요 둘이서 라라라 고마워요 고마워요 그대 자신보다 나를 아껴준 사랑 세상이 등 돌려도 누가 뭐라고 해도 내가 그대 지켜줄게요 사랑해요 소중   사랑 평생 그대만을 위해 부를 이노래 사랑노래 함께 불러요 둘이서 라라라 그대 품이 나의 집이죠 영원히 라라라 ,발라드
성시경,거리에서,니가 없는 거리에는 내가 할일이 없어서 마냥 걷다 걷다보면 추억을 가끔 마주치지 떠오르는 너의 모습 내 살아나는 그리움 한번에 참 잊기 힘든 사람이란걸 또 한번 느껴지는 하루 어디쯤에 머무는지 또 어떻게 살아가는지 걷다보면 누가 말해줄 것 같아 이 거리가 익숙했던 우리 발걸음이 나란  그리운 날들 오늘밤 나를 찾아온다 널 그리는 널 부르는 내 하루는 애태워도 마주친 추억이 반가워 날 부르는 목소리에 돌아보면 텅빈 거리 어느새 수많은 니모습만 가득해 막다른길 다다라서 낯익은 벽 기대보며 가로등 속 환히 비춰지는 고백하는 니가 보여 떠오르는 그때모습 내 살아나는 설  한번에 참 잊기 힘든 순간이란 걸 또 한번 느껴지는 하루 아직 나를 생각할지 또 그녀도 나를 찾을지 걷다보면 누가 말해줄 것 같아 이 거리가 익숙했던 우리 발걸음이 나란했던 그리운 날들 오늘밤 나를 찾아온다 널 그리는 널 부르는 내 하루는 애태워도 마주친 추억이 반가워 날 부르는 목소리에 돌 면 텅빈 거리 어느새 수 많은 니 모습만 가득 부풀은 내 가슴이 밤 하늘에 외쳐본다 이 거리는 널 기다린다고 널 그리는 널 부르는 내 하루는 애태워도 마주친 추억이 반가워 날 부르는 목소리에 돌아보며 텅빈거리 어느새 수 많은 니 모습만 가득해,발라드
규현,광화문에서,넌 어땠는지 아직 여름이 남아 왠지 난 조금 지쳤던 하루 광화문 가로수 은행잎 물들 때 그제야 고갤 들었었나 봐 눈이 부시게 반짝이던 우리 둘은 이미 남이 되었잖아 네 품 안에서 세상이 내 것이었던 철없던 시절은 안녕 오늘 바보처럼 그 자리에 서 있는 거야 비가 내리면 흠뻑 젖으며 오지 않는  를 기다려 나는 행복했어 그 손 잡고 걷던 기억에 또 뒤돌아 봐 네가 서 있을까 봐 난 모르겠어 세상 살아가는 게 늘 다른 누굴 찾는 일 인지 커피 향 가득한 이 길 찾아오며 그제야 조금 웃었던 나야 처음이었어 그토록 날 떨리게 한 사람은 너 뿐이잖아 누구보다 더 사랑스럽던 네가 왜 내게서 떠나 는지 오늘 바보처럼 그 자리에 서 있는 거야 비가 내리면 흠뻑 젖으며 오지 않는 너를 기다려 나는 행복했어 그 손 잡고 걷던 기억에 또 뒤돌아 봐 네가 서 있을까 봐 그 자리에서 매일 알아가 조금씩 변해가는 내 모습은 먼 훗날엔 그저 웃어줘 난 행복해 오늘 여긴 그 때처럼 아름다우니 괜히 바보처 럼 그자리에 서 있는 거야 비가 내리면 흠뻑 젖으며 오지 않는 너를 기다려 나는 행복했어 광화문 이 길을 다시 한번 뒤돌아 봐 네가 서 있을까 봐,발라드
아이유,너의의미,너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는  을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드   을 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속,발라드
하동균,그녀를 사랑해줘요,잠깐 기다려줄래 지금 데리러 갈게 왜 자꾸 울기만 하니 말해 말해 어디에 있니 니가 사랑하는 사람이 너를 두고 간 거니 집으로 데려다 줄게 가자 가자 바람이 차가우니까 너를 울리는 그 사람이 뭐가 그렇게 좋으니 너는 모르지 너만 모르지 너를 사랑하는 내 맘을 걸음이 느린 내가 먼저 가지 못해서 내 자릴 뺏긴 아픈 사랑을 너의 웃는 모습이 누구 보다 예쁜지 그 사람 알기나 하니 정말 정말 알고도 너를 울리니 이름 모르는 당신에게 부탁 하나만 하는데 사랑해줘요 사랑해줘요 내가 사랑하는 그녀를 당신이 나 대신에 가진 나의 그녀를 함부로 다룰 생각하면 안 돼요 사랑해줘요 내 마음도 몰라주는 그녀를 그녀가 사랑하는 사람 당신이니까 나 보다 많이 사랑해줘요 다시는 울리지는 말아요,발라드
SG워너비,살다가,살아도 사는 게 아니래너 없는 하늘에창 없는 감옥 같아서웃어도 웃는 게 아니래초라해 보이고우는 것 같아 보인대사랑해도 말 못 했던 나내색조차 할 수 없던 나나 잠이 드는 순간조차그리웠었지살다가 살다가 살다가 너 힘들 때나로 인한 슬픔으로후련할 때까지울다가 울다가 울다가 너 지칠 때정 힘들면 단 한 번만 기억하겠니살다가웃어도 웃는 게 아니래초라해 보이고우는 것 같아 보인대사랑해도 말 못 했던 나내색조차 할 수 없던 나나 잠이 드는 순간조차그리웠었지살다가 살다가 살다가 너 힘들 때나로 인한 슬픔으로후련할 때까지울다가 울다가 울다가 너 지칠 때정 힘들면 단 한 번만 기억하겠니우린 마지못해 웃는 거겠지우린 마지못해 살아가겠지내 곁에 있어도 나의 곁에 있어도눈물나니까살다가 살다가 살다가 너 힘들 때나로 인한 슬픔으로후련할 때까지태워도 태워도 태워도 남았다면남김없이 태워도 돼후련할 때까지나 살다가나 살다가,발라드
린,...사랑했잖아...,나만 원한다 했던 말도지켜준다던 약속들도아무렇지 않은 표정으로버리고 있잖아너만 바라본 많은 날들물거품이 돼버린 오늘또 아무렇지 않게 웃고있을 너잖아정말 좋았잖아 행복 했었잖아가슴아픈 그런 일들도견뎌냈던 우리잖아제발 그러지마라 아직 사랑하는 날너도 알고 있잖아매일밤 울며 전화하는 날낯설만큼 차가운 니 목소릴 들어도바보처럼 난 너를 못잊어 이렇게알면서도 시작한 만남그녀에게 미안한 맘만하루하루 지날수록 커진내 헛된 욕심들많이 부담스러웠겠지니 자릴 찾으려 했겠지난 알고 있었어닫혀진 너의 마음을정말 좋았잖아 행복 했었잖아가슴아픈 그런 일들도견뎌냈던 우리잖아제발 그러지마라 아직 사랑하는 날너도 알고 있잖아매일밤 울며 전화하는 날낯설만큼 차가운 니 목소릴 들어도바보처럼 난 니가 행복하길 바래다시 나에게 너라는 기회가 온다면놓치지 않을텐데 니 손 꼭 잡을텐데니가 원했던 만큼많이 원했던 만큼잘해주지 못한 날미안해 용서해 이해해줘끝까지 이기적인거이것도 이해해줄래바보같은 날 마지막까지이렇게 마지막 까지 미안해,발라드
한동근,이 소설의 끝을 다시 써보려 해,시계가 반대로 돌아가고 있어TV속 영화가 되감아지고 있어내렸던 빗물이 올라가고 있어잊었던 기억이 돌아오고 있어도로 위에 차들이반대로 달리고온 세상의 모든 게 다거꾸로 움직여지금 나는 계속 반대로뒷걸음질 치며그날의 너에게 돌아가고 있어운명 같은 만남 너무 아픈 결말난 이 소설의 끝을다시 써보려 해내 한 권의 사랑 마지막 장면엔니가 있어야 해그래야 말이 되니까한 장씩 한 장씩 뒤로 넘겨 지며아팠던 일기가 지워지고 있어가루 낸 사진이 모여들고 있어버렸던 미련이 돌아오고 있어삼켰던 내 눈물이다시 뱉어지고뱉었던 그 모진 말은다시 삼켜지고지금 나는 계속 반대로뒷걸음질 치며그날의 너에게 돌아가고 있어운명 같은 만남 너무 아픈 결말난 이 소설의 끝을 다시 써보려 해내 한 권의 사랑 마지막 장면엔니가 있어야 해 그래야 말이 돼여기야 우리가 이별한그 슬픈 페이지내 앞에서 니가 서서 울고 있어너에게 묻고 싶어 너만 괜찮다면난 이 소설의 끝을 다시 써보려 해내 한 권의 사랑 마지막 장면엔니가 있어야 해그래야 말이 되니까,발라드
